time	r_thigh_gx	r_thigh_gy	r_thigh_gz	r_thigh_ax	r_thigh_ay	r_thigh_az	r_thigh_mx	r_thigh_my	r_thigh_mz	r_shin_gx	r_shin_gy	r_shin_gz	r_shin_ax	r_shin_ay	r_shin_az	r_shin_mx	r_shin_my	r_shin_mz	r_foot_gx	r_foot_gy	r_foot_gz	r_foot_ax	r_foot_ay	r_foot_az	r_foot_mx	r_foot_my	r_foot_mz	l_thigh_gx	l_thigh_gy	l_thigh_gz	l_thigh_ax	l_thigh_ay	l_thigh_az	l_thigh_mx	l_thigh_my	l_thigh_mz	l_shin_gx	l_shin_gy	l_shin_gz	l_shin_ax	l_shin_ay	l_shin_az	l_shin_mx	l_shin_my	l_shin_mz	l_foot_gx	l_foot_gy	l_foot_gz	l_foot_ax	l_foot_ay	l_foot_az	l_foot_mx	l_foot_my	l_foot_mz	up_torso_gx	up_torso_gy	up_torso_gz	up_torso_ax	up_torso_ay	up_torso_az	up_torso_mx	up_torso_my	up_torso_mz	lo_torso_gx	lo_torso_gy	lo_torso_gz	lo_torso_ax	lo_torso_ay	lo_torso_az	lo_torso_mx	lo_torso_my	lo_torso_mz	gaitStageRight	gaitStageLeft	step_count
2.6874	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	13	380	-475	-4045	2476	-800	-1956	None	None	None	None	None	None	None	None	None	0	0	0
2.69845	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	2	12	384	-482	-4052	2447	-815	-1943	None	None	None	None	None	None	None	None	None	0	0	0
2.71412	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	2	12	385	-477	-4045	2428	-808	-1959	None	None	None	None	None	None	None	None	None	0	0	0
2.73214	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	12	383	-477	-4046	2414	-802	-1946	None	None	None	None	None	None	None	None	None	0	0	0
2.75242	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	-1	12	385	-475	-4039	2467	-786	-1963	None	None	None	None	None	None	None	None	None	0	0	0
2.77194	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	1	12	383	-478	-4047	2461	-808	-1966	None	None	None	None	None	None	None	None	None	0	0	0
2.79216	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	2	13	387	-479	-4043	2456	-804	-1950	None	None	None	None	None	None	None	None	None	0	0	0
2.81204	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	13	390	-474	-4041	2470	-839	-1948	None	None	None	None	None	None	None	None	None	0	0	0
2.83272	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	-1	14	388	-482	-4046	2448	-567	-1944	None	None	None	None	None	None	None	None	None	0	0	0
2.85222	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	13	386	-472	-4046	2436	-790	-1972	None	None	None	None	None	None	None	None	None	0	0	0
